/home/chunyulin/anaconda3/envs/offline_rl/lib/python3.10/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
  3%|███▊                                                                                                                     | 31/1000 [06:44<3:35:23, 13.34s/it]
Episode 136: ELoss: 5027.17, Recon Loss: 0.47, SAC Loss: 5026.70, Reward: -453.67
Episode 137: ELoss: 5042.31, Recon Loss: 0.47, SAC Loss: 5041.84, Reward: -454.53
Episode 138: ELoss: 5099.43, Recon Loss: 0.46, SAC Loss: 5098.96, Reward: -456.27
Episode 139: ELoss: 5133.47, Recon Loss: 0.46, SAC Loss: 5133.01, Reward: -456.50
Episode 140: ELoss: 5137.96, Recon Loss: 0.46, SAC Loss: 5137.51, Reward: -457.60
Episode 141: ELoss: 5173.35, Recon Loss: 0.45, SAC Loss: 5172.90, Reward: -457.98
Episode 142: ELoss: 5220.03, Recon Loss: 0.45, SAC Loss: 5219.58, Reward: -460.09
Episode 143: ELoss: 5248.48, Recon Loss: 0.45, SAC Loss: 5248.03, Reward: -461.03
Episode 144: ELoss: 5261.48, Recon Loss: 0.44, SAC Loss: 5261.04, Reward: -462.05
Episode 145: ELoss: 5281.93, Recon Loss: 0.44, SAC Loss: 5281.49, Reward: -464.06
Episode 146: ELoss: 5298.80, Recon Loss: 0.44, SAC Loss: 5298.36, Reward: -463.77
Episode 147: ELoss: 5361.21, Recon Loss: 0.43, SAC Loss: 5360.78, Reward: -462.76
Episode 148: ELoss: 5368.65, Recon Loss: 0.43, SAC Loss: 5368.22, Reward: -463.09
Episode 149: ELoss: 5398.45, Recon Loss: 0.43, SAC Loss: 5398.02, Reward: -464.67
Episode 150: ELoss: 5386.83, Recon Loss: 0.42, SAC Loss: 5386.41, Reward: -464.55
Episode 151: ELoss: 5413.90, Recon Loss: 0.42, SAC Loss: 5413.48, Reward: -466.14
Episode 152: ELoss: 5501.86, Recon Loss: 0.42, SAC Loss: 5501.44, Reward: -465.65
Episode 153: ELoss: 5508.63, Recon Loss: 0.41, SAC Loss: 5508.22, Reward: -466.56
Episode 154: ELoss: 5564.64, Recon Loss: 0.41, SAC Loss: 5564.23, Reward: -466.76
Episode 155: ELoss: 5551.13, Recon Loss: 0.40, SAC Loss: 5550.72, Reward: -467.04
Episode 156: ELoss: 5591.08, Recon Loss: 0.40, SAC Loss: 5590.68, Reward: -467.42
Episode 157: ELoss: 5617.96, Recon Loss: 0.40, SAC Loss: 5617.56, Reward: -467.03
Episode 158: ELoss: 5626.41, Recon Loss: 0.39, SAC Loss: 5626.02, Reward: -467.44
Episode 159: ELoss: 5695.07, Recon Loss: 0.39, SAC Loss: 5694.68, Reward: -467.83
Episode 160: ELoss: 5708.89, Recon Loss: 0.39, SAC Loss: 5708.50, Reward: -467.77
Episode 161: ELoss: 5703.57, Recon Loss: 0.38, SAC Loss: 5703.19, Reward: -468.34
Episode 162: ELoss: 5753.46, Recon Loss: 0.38, SAC Loss: 5753.08, Reward: -468.47
Episode 163: ELoss: 5705.35, Recon Loss: 0.38, SAC Loss: 5704.98, Reward: -468.15
Episode 164: ELoss: 5791.23, Recon Loss: 0.37, SAC Loss: 5790.85, Reward: -468.17
Episode 165: ELoss: 5857.57, Recon Loss: 0.37, SAC Loss: 5857.20, Reward: -468.40
Episode 166: ELoss: 5820.70, Recon Loss: 0.37, SAC Loss: 5820.34, Reward: -467.73
Episode 167: ELoss: 5847.03, Recon Loss: 0.37, SAC Loss: 5846.66, Reward: -468.22
Episode 168: ELoss: 5861.26, Recon Loss: 0.36, SAC Loss: 5860.89, Reward: -467.15
Episode 169: ELoss: 5883.44, Recon Loss: 0.36, SAC Loss: 5883.08, Reward: -467.17
Episode 170: ELoss: 5931.80, Recon Loss: 0.36, SAC Loss: 5931.44, Reward: -469.51
Episode 171: ELoss: 5934.52, Recon Loss: 0.35, SAC Loss: 5934.17, Reward: -465.67
Episode 172: ELoss: 5961.33, Recon Loss: 0.35, SAC Loss: 5960.98, Reward: -466.95
Episode 173: ELoss: 5979.30, Recon Loss: 0.35, SAC Loss: 5978.95, Reward: -464.70
Episode 174: ELoss: 6046.54, Recon Loss: 0.35, SAC Loss: 6046.20, Reward: -462.82
Episode 175: ELoss: 6086.14, Recon Loss: 0.34, SAC Loss: 6085.80, Reward: -461.55
Episode 176: ELoss: 6039.88, Recon Loss: 0.34, SAC Loss: 6039.54, Reward: -461.86
Episode 177: ELoss: 6068.96, Recon Loss: 0.34, SAC Loss: 6068.63, Reward: -463.73
Episode 178: ELoss: 6069.61, Recon Loss: 0.33, SAC Loss: 6069.27, Reward: -463.41
Episode 179: ELoss: 6118.19, Recon Loss: 0.33, SAC Loss: 6117.85, Reward: -463.12
Episode 180: ELoss: 6195.75, Recon Loss: 0.33, SAC Loss: 6195.42, Reward: -462.98
Episode 181: ELoss: 6214.22, Recon Loss: 0.32, SAC Loss: 6213.89, Reward: -462.90
Episode 182: ELoss: 6233.83, Recon Loss: 0.32, SAC Loss: 6233.51, Reward: -461.58
Episode 183: ELoss: 6265.22, Recon Loss: 0.32, SAC Loss: 6264.90, Reward: -461.93
